Designator,Mid X,Mid Y,Rotation,Layer
R21,120.445,45.645,0.0,top
R22,120.445,43.135,0.0,top
R23,120.445,40.625,0.0,top
R24,120.445,38.115,0.0,top
R25,120.445,35.605,0.0,top
R26,120.445,33.095,0.0,top
R27,120.445,30.585,0.0,top
R28,120.445,28.075,0.0,top
R29,120.445,25.565,0.0,top
R3,126.495,113.845,0.0,top
R30,120.445,23.055,0.0,top
R31,124.455,45.645,0.0,top
R32,124.455,43.135,0.0,top
R33,124.455,40.625,0.0,top
R34,96.755,40.625,0.0,top
R35,124.455,38.115,0.0,top
R36,122.485,69.135,0.0,top
R37,116.475,101.295,0.0,top
R39,116.475,96.275,0.0,top
R4,126.495,111.335,0.0,top
R40,116.475,93.765,0.0,top
R41,96.755,38.115,0.0,top
R42,124.455,35.605,0.0,top
R43,126.495,106.315,0.0,top
R44,126.495,103.805,0.0,top
R45,130.505,113.845,0.0,top
R46,130.505,111.335,0.0,top
R48,96.755,35.605,0.0,top
R5,126.495,108.825,0.0,top
R6,96.755,45.645,0.0,top
R7,96.755,43.135,0.0,top
R8,122.485,81.685,0.0,top
R9,122.485,79.175,0.0,top
U1,136.145,99.55,0.0,top
U10,120.88,19.325,0.0,top
U11,129.035,23.575,180.0,top
U12,128.7,19.575,0.0,top
U13,89.125,-1.59,0.0,top
U2,129.035,28.2,180.0,top
U3,135.085,112.7,180.0,top
U4,70.225,18.625,0.0,top
U5,90.43,2.375,270.0,top
U6,135.57,72.465,0.0,top
U7,96.63,85.58,0.0,top
U8,109.26,19.825,0.0,top
U9,109.26,15.875,0.0,top
